country,year,sex,list,agf,cause_new,total,d20_new,d30_new,d40_new,d50_new,d60_new,d70_new,d80_new,d90_new,d95p
GBRTENW,2015,1,interm,3,54,2581.04,5.16,3.07,15.27,48.64,132.93,375.06,870.03,1033.43,97.45
GBRTENW,2015,1,interm,3,55,38.58,12.21,4.1,6.1,3.04,0,3,4.01,6.09,0
GBRTENW,2015,1,interm,3,56,1944.28,5.12,1.02,4.06,22.29,46.32,196.55,582.07,918.21,168.62
GBRTENW,2015,1,interm,3,57,4840.05,53.25,83.92,129.29,315.28,425.99,731.28,1236.3,1594.27,270.45
GBRTENW,2016,1,interm,3,1,207955.87,3419.98,2695.95,4632.41,10084.79,19233.12,40680.04,63731.32,56114.49,7363.58
GBRTENW,2016,1,interm,3,48,280.94,2.02,2.04,7.12,9.11,27.2,50.14,100.36,78.56,4.38
GBRTENW,2016,1,interm,3,49,416.59,0,1.02,3.05,8.12,20.15,54.14,96.37,183.38,50.35
GBRTENW,2016,1,interm,3,50,2371.75,1.01,5.11,43.75,119.64,240.59,447.15,677.55,736.24,100.71
GBRTENW,2016,1,interm,3,51,12834.98,3.07,42.9,207.58,823.16,1699.85,3057.14,3907.11,2838.01,256.15
GBRTENW,2016,1,interm,3,52,22976.74,2.03,45.96,255.4,1103.78,2577.86,4996.23,7259.25,6044.42,691.81
GBRTENW,2016,1,interm,3,53,1149.09,14.33,16.34,25.44,68.92,132.92,297.79,326.15,242.03,25.18
GBRTENW,2016,1,interm,3,54,2580.16,5.07,6.13,13.23,58.81,140.95,352.91,851.27,1033.58,118.22
GBRTENW,2016,1,interm,3,55,59.08,10.17,8.16,5.09,9.13,5.03,4.01,6.02,8.18,3.28
GBRTENW,2016,1,interm,3,56,2192.83,2.06,1.02,10.17,15.19,61.43,233.6,657.65,1004.82,206.89
GBRTENW,2016,1,interm,3,57,4993,60.12,64.34,159.76,314.34,395.86,698.86,1290.99,1645.33,363.42
GBRTENW,2001,2,interm,3,1,210152.83,2811.02,1529.93,3453.29,8024.15,14792.91,31277.39,65191.62,69650.5,13422.29
GBRTENW,2001,2,interm,3,48,980.26,2.03,1.95,4.9,15.96,84.29,248.39,363,240.13,19.63
GBRTENW,2001,2,interm,3,49,307.45,0,0,2,2.99,1,13.97,66.62,170.56,50.3
GBRTENW,2001,2,interm,3,50,1681.61,2,2.91,13.84,31.91,106.37,250.39,596.8,605.01,72.38
GBRTENW,2001,2,interm,3,51,21074.9,2.99,9.71,96.09,296.28,1075.79,3692.03,8265.48,6810.9,825.63
GBRTENW,2001,2,interm,3,52,28021.11,1.95,8.72,72.17,344.15,1088.85,3648.16,9679.06,11271.63,1906.43
GBRTENW,2001,2,interm,3,53,2111.08,11.08,17.45,34.39,60.87,159.61,342.17,717.01,681.39,87.1
GBRTENW,2001,2,interm,3,54,2011.78,7.12,3.88,5.97,19.94,83.32,236.42,737.54,793.7,123.91
GBRTENW,2001,2,interm,3,55,22.1,0,0.96,1,2,2.01,1,4.03,7.43,3.68
GBRTENW,2001,2,interm,3,56,6986.27,5.02,2.92,5.86,20.96,70.24,400.04,1944.01,3568.06,969.16
GBRTENW,2001,2,interm,3,57,4597.61,69.88,12.6,78.54,97.78,145.62,355.13,1242.86,2094.68,500.53
GBRTENW,2002,2,interm,3,1,213427.75,2635.67,1524.84,3482.38,7765.44,15092.4,30890.46,66576.22,71353.93,14106.65
GBRTENW,2002,2,interm,3,48,892.7,0,2.04,6.04,18.08,62.92,188.05,371.35,222.41,21.82
GBRTENW,2002,2,interm,3,49,358.5,0,0,1.03,1,1,15,91.12,182.69,66.66
GBRTENW,2002,2,interm,3,50,1664.96,0.93,0,15.11,41.17,98.88,254.08,608.84,579.28,66.66
GBRTENW,2002,2,interm,3,51,20679.13,6.55,19.55,83.76,307.2,975.78,3398.98,8205.74,6825.89,855.68
GBRTENW,2002,2,interm,3,52,27159.79,1.87,11.35,75.63,320.34,1051.67,3439.99,9484.01,10800.55,1974.37
GBRTENW,2002,2,interm,3,53,2125.01,12.72,14.36,41.48,79.28,157.81,324.1,767.34,645.5,82.42
GBRTENW,2002,2,interm,3,54,2132.53,2.91,4.08,11.06,21.08,88.88,254.07,738.5,890.73,121.2
GBRTENW,2002,2,interm,3,55,39.37,1.92,0,2.03,0,0,4,10.14,21.27,0
GBRTENW,2002,2,interm,3,56,7260.62,3.05,1,3,27.14,75.91,444.11,1939.61,3793.55,973.25
GBRTENW,2002,2,interm,3,57,4642.67,48.33,30.84,50.64,91.34,127.85,351.11,1250.07,2119.21,573.28
GBRTENW,2003,2,interm,3,1,218417.43,2852.23,1476.52,3525.34,7670.97,15472.63,30900.17,69440.91,71709.58,15369.17
GBRTENW,2003,2,interm,3,48,852.13,0.96,2.93,7.04,20.04,58.1,194.3,350.24,194.54,23.99
GBRTENW,2003,2,interm,3,49,448.98,0,0,0,1,8.02,12.01,106.3,246.07,75.58
GBRTENW,2003,2,interm,3,50,1831.01,0,1.98,21.11,27.05,88.15,263.38,692.3,643.46,93.58
GBRTENW,2003,2,interm,3,51,19839.32,6.79,11.82,89.47,272.64,892.53,3056.45,7858.85,6731.81,918.96
GBRTENW,2003,2,interm,3,52,26767.11,0,12.73,93.46,306.71,1035.76,3170.63,9453.09,10656.46,2038.26
GBRTENW,2003,2,interm,3,53,2268.55,18.63,22.36,46.23,66.2,143.25,366.54,838.1,684.46,82.78
GBRTENW,2003,2,interm,3,54,2047.84,1.92,0.95,12.06,30.05,53.1,248.36,756.25,831.19,113.97
GBRTENW,2003,2,interm,3,55,38.24,0,0,1,4.01,0,3,5.04,17.98,7.2
GBRTENW,2003,2,interm,3,56,7115.82,2.86,0.99,12.07,15.04,82.14,385.54,1911.79,3683.27,1022.13
GBRTENW,2003,2,interm,3,57,4775.52,54.58,38.76,52.28,100.28,155.27,390.59,1257.15,2069.22,657.43
GBRTENW,2004,2,interm,3,1,207907.98,2714.41,1405.68,3480.66,7342.35,15327.83,29595.87,66916.05,66370.05,14755.02
GBRTENW,2004,2,interm,3,48,868.3,2.8,0.97,10.97,20.07,54.08,174.86,358.89,213.62,32.05
GBRTENW,2004,2,interm,3,49,441.78,0,0.97,1.99,0,5,14.99,98.08,226.98,93.78
GBRTENW,2004,2,interm,3,50,1614.24,0.94,1.94,10.96,19.06,97.14,224.82,593.31,565.18,100.9
GBRTENW,2004,2,interm,3,51,17666.74,0,16.8,72.81,242.85,778.07,2581.95,7042.22,6059.57,872.48
GBRTENW,2004,2,interm,3,52,24823.16,2.81,8.92,87.83,268.93,905.25,3057.55,8732.05,9822.58,1937.26
GBRTENW,2004,2,interm,3,53,2224.66,13.46,15.96,37.91,74.25,142.19,343.73,808.02,692.98,96.15
GBRTENW,2004,2,interm,3,54,2133.8,2.84,4.01,9.99,25.08,62.08,231.82,809.45,862.69,125.83
GBRTENW,2004,2,interm,3,55,44.84,0,0,3.99,1,1,1,14.13,20.17,3.56
GBRTENW,2004,2,interm,3,56,6106.84,1.9,0,8.99,11.04,67.09,347.72,1698.27,3045.94,925.9
GBRTENW,2004,2,interm,3,57,4578.61,41.82,30.82,67.83,109.37,161.22,353.72,1198.53,2018.21,597.09
GBRTENW,2005,2,interm,3,1,210894.57,2680.56,1344.97,3424.21,7351.27,15524.33,29241.26,66418.96,69197.81,15711.01
GBRTENW,2005,2,interm,3,48,826,1.05,2.91,2.02,19.06,48.16,177.68,321.23,230.16,23.72
GBRTENW,2005,2,interm,3,49,472.06,0,0.98,0,0,4.02,11.05,105.27,274.85,75.9
GBRTENW,2005,2,interm,3,50,1777.37,0.97,4.87,11,42.14,100.35,228.88,621.49,662.11,105.55
GBRTENW,2005,2,interm,3,51,16375.29,2.02,12.65,73.86,220.7,771.62,2311.81,6376.65,5718.86,887.13
GBRTENW,2005,2,interm,3,52,23972.79,3.12,7.77,80.79,294.02,884.04,2738.46,8276.88,9621.72,2066.02
