country,year,sex,list,agf,cause,total,d20_new,d30_new,d40_new,d50_new,d60_new,d70_new,d80_new,d90_new,d100p,Calculated total,Check total
USA,1980,1,long,4,105,7020.05,29.58,142.87,388.35,1140.97,1895.01,1949.15,1227.93,241.62,4.42,7019.9,0.15
USA,1980,1,long,4,106,2580.8,20.03,46.79,79.17,200.66,402.80,756.81,807.40,256.32,10.93,2580.91,-0.11
USA,1980,1,long,4,107,1459.16,6.97,15.02,30.53,100.95,249.72,436.30,467.97,144.27,7.52,1459.25,-0.09
USA,1980,1,long,4,108,176481.6,254.09,1723.71,8524.15,27289.77,49611.24,53788.92,29688.67,5461.48,136.64,176478.67,2.93
USA,1980,1,long,4,109,3264.13,12.25,68.38,212.46,587.22,924.84,868.13,498.40,89.45,2.99,3264.12,0.01
USA,1980,1,long,4,110,165658.29,172.53,1075.73,4910.06,17123.34,33812.96,49281.36,45083.48,13696.30,507.27,165663.03,-4.74
USA,1980,1,long,4,111,6053.66,185.28,152.54,258.24,771.69,1529.12,1836.79,1098.34,214.15,7.44,6053.59,0.07
USA,1980,1,long,4,112,40596.57,1340.32,942.08,1915.20,5061.26,8953.65,11113.31,8667.61,2511.69,92.34,40597.46,-0.89
USA,1980,2,long,4,0,914763.03,46104.78,16342.12,30295.77,76322.52,145823.74,230878.93,264984.40,99341.90,4668.87,914763.03,0.00
USA,1980,2,long,4,1,556055.45,44705.39,14771.29,25012.41,57557.07,95910.36,131565.98,136510.77,47839.15,2175.33,556047.75,7.7
USA,1980,2,long,4,102,36.42,1.46,1.66,1.49,5.21,9.62,11.51,4.74,0.71,0.02,36.42,0
USA,1980,2,long,4,103,4449.74,70.03,97.69,259.84,636.50,1204.78,1383.90,687.97,107.40,1.34,4449.45,0.29
USA,1980,2,long,4,104,2064.82,8.21,18.90,66.53,192.48,358.03,593.72,598.15,216.35,12.47,2064.84,-0.02
USA,1980,2,long,4,105,9791.73,20.66,75.16,254.09,746.42,1562.16,2701.04,3335.39,1059.00,37.14,9791.06,0.67
USA,1980,2,long,4,106,2849.72,30.79,35.28,61.14,153.45,379.44,802.42,986.87,387.46,12.75,2849.6,0.12
USA,1980,2,long,4,107,2173.94,4.78,11.14,29.89,81.75,260.70,546.37,844.92,366.42,28.31,2174.28,-0.34
USA,1980,2,long,4,108,119859.24,90,362.17,1955.14,7908.06,22037.78,39404.92,37270.08,10426.31,397.24,119851.7,7.54
USA,1980,2,long,4,109,2064.75,6.88,9.27,44.20,187.64,379.32,599.21,612.79,219.70,5.66,2064.67,0.08
USA,1980,2,long,4,110,170483.72,68.78,250.05,1348.85,5748.42,17087.32,41788.66,69740.07,32759.60,1706.98,170498.73,-15.01
USA,1980,2,long,4,111,6579.26,236.19,184.71,290.11,680.02,1256.10,1841.64,1638.77,435.60,15.64,6578.78,0.48
USA,1980,2,long,4,112,38354.24,861.61,524.80,972.08,2425.50,5378.13,9639.56,12753.88,5524.20,275.99,38355.75,-1.51
USA,1980,3,long,4,0,1989841,139203.92,50179.53,82573.91,209449.31,382556.48,514102.75,459721.75,145831.93,6221.42,1989841,0
USA,1980,3,long,4,1,1224017.5,135694.46,44322.84,60696.74,137706.72,234137.43,293710.23,243178.51,71603.06,2957.18,1224007.17,10.33
USA,1980,3,long,4,102,62.86,4.73,3.54,3.61,8.91,16.20,17.56,7.30,1.0,0.02,62.87,-0.01
USA,1980,3,long,4,103,6704.71,139.99,186.39,428.45,1050.61,1872.20,1952.07,928.59,144.64,1.43,6704.37,0.34
USA,1980,3,long,4,104,3785.07,23.93,47.06,171.44,475.94,810.35,1068.33,884.78,289.69,13.54,3785.06,0.01
USA,1980,3,long,4,105,16811.78,50.24,218.03,642.44,1887.40,3457.16,4650.18,4563.32,1300.62,41.56,16810.95,0.83
USA,1980,3,long,4,106,5430.52,50.82,82.07,140.31,354.11,782.23,1559.23,1794.28,643.79,23.68,5430.52,0.00
USA,1980,3,long,4,107,3633.1,11.76,26.16,60.42,182.70,510.43,982.67,1312.89,510.68,35.82,3633.53,-0.43
USA,1980,3,long,4,108,296340.84,344.1,2085.88,10479.29,35197.83,71649.03,93193.83,66958.75,15887.77,533.88,296330.36,10.48
USA,1980,3,long,4,109,5328.88,19.15,77.64,256.66,774.86,1304.16,1467.34,1111.18,309.15,8.65,5328.79,0.09
USA,1980,3,long,4,110,336142.01,241.32,1325.78,6258.91,22871.75,50900.28,91070.02,114823.55,46455.90,2214.25,336161.76,-19.75
USA,1980,3,long,4,111,12632.92,421.45,337.25,548.36,1451.71,2785.22,3678.43,2737.11,649.74,23.08,12632.35,0.57
USA,1980,3,long,4,112,78950.81,2201.97,1466.89,2887.28,7486.77,14331.79,20752.86,21421.49,8035.89,368.33,78953.27,-2.46
USA,1981,1,long,4,0,1063772.02,88079.23,34764.89,51604.64,129231.63,234226.57,283394.22,194641.77,46312.51,1516.56,1063772.02,0
USA,1981,1,long,4,1,662577.98,86083.42,30327.04,35170.7,78354,137565.01,163286.09,107307.1,23742.73,737.56,662573.65,4.33
USA,1981,1,long,4,102,25.87,2.86,2.08,2.84,3.46,6.14,5.60,2.57,0.30,0.01,25.86,0.01
USA,1981,1,long,4,103,2136.5,55.18,76.22,154.64,352.87,614.88,614.45,246.12,21.95,0.09,2136.40,0.1
USA,1981,1,long,4,104,1757.88,5.82,20.47,112.03,287.69,486.65,482,296.78,63.90,2.51,1757.85,0.03
USA,1981,1,long,4,105,6964.54,38.94,142.58,410.72,1152.86,1822.71,1923.44,1234.74,233.07,5.34,6964.4,0.14
USA,1981,1,long,4,106,2530.68,21.05,44.84,67.16,194.72,385.55,736.42,826.53,245.30,9.21,2530.78,-0.1
USA,1981,1,long,4,107,1354.16,7.51,19.95,34.65,93.40,224.55,405.29,458.85,102.42,7.68,1354.3,-0.14
USA,1981,1,long,4,108,171434.71,238.80,1805.49,8290.12,25542.25,47618.36,53180.06,29376.16,5236.1,143.64,171430.98,3.73
USA,1981,1,long,4,109,3060.29,13.53,65.54,169.29,563.60,866.16,841.43,451.16,84.85,4.73,3060.29,0.00
USA,1981,1,long,4,110,163747.92,204.16,1114.54,4953.83,16758.08,33973.42,48715.87,43826.27,13712.79,495.97,163754.93,-7.01
USA,1981,1,long,4,111,5856.24,165.72,179.26,267.86,725.88,1437.07,1786.53,1086.61,206.46,0.51,5855.9,0.34
USA,1981,1,long,4,112,42325.25,1242.24,966.88,1970.80,5202.82,9226.07,11417.04,9528.88,2662.64,109.31,42326.68,-1.43
USA,1981,2,long,4,0,914208.96,44331.17,16626.44,29557.11,75215.55,146103.19,229155.36,266315.07,101976.08,4928.99,914208.96,0
USA,1981,2,long,4,1,558338.75,42993.02,14937.23,24335.74,57029.03,96685.49,132626.44,137991.94,49492.99,2243.14,558335.02,3.73
